session_id,session_timestamp,driver_name,driver_email,station_id,connection_id,station_name_logged,kwh_charged,duration_minutes,revenue_usd,cost_usd,customer_id,date_id
1001,2026-08-09 20:40:32,Susan Bush,havrylenkovitalii@example.net,507763,872667,Eldrive Lithuania Panemunės Baseinas,34.96,101,13.98,6.29,,
1002,2026-08-20 12:51:20,Kimberly Morrison,goliashiarema@example.net,507738,872623,Gm  Oil,,16,,,,
1003,2026-08-15 10:06:34,Єва Валенко,riaboviltrokhym@example.com,507818,872793,Parking Caravanas El Pueyo,63.56,44,25.42,11.44,,
1004,2026-09-04 02:56:03,Гоголь Іван Алевтинович,vpreston@example.org,507810,872784,Parking Parador De Caztola,52.89,64,21.16,9.52,,
1005,2026-09-06 07:30:35,Dennis Martin,whitebarbara@example.com,507807,872779,C.C. Los Alcores Sevilla,17.48,101,6.99,3.15,,
1006,2026-08-10 04:33:56,John Pineda,moraleskelly@example.net,507763,872674,Eldrive Lithuuania Panemunės Baseinas,17.48,23,6.99,3.15,,
1007,2026-08-13 04:41:56,Михайлина Баклан,smithmarcus@example.org,507763,872665,Eldrive Lithuania Panemunės Baseinas,9.65,19,3.86,1.74,,
1008,2026-08-19 22:36:20,Kenneth Howard DDS,breannasaunders@example.net,507996,873159,"Savanorių Pr. 276, Kaunsa",74.29,89,29.72,13.37,,
1009,2026-09-04 21:26:02,Tina Meyer,kaylaandrews@example.com,507763,872661,Eldrive Lithuania Panemunės Baseinas,53.09,25,21.24,9.56,,
1010,2026-09-04 02:26:20,пані Валентина Редько,,508012,873187,Porto ELMInya Club 🏓,61.65,63,24.66,11.1,,
1011,2026-08-19 08:22:04,Опанас Перепелиця,hryhoriiumanets@example.com,507919,872978,2898 - הרב אבא אבוחצירא (פרטי),6.65,104,2.66,1.2,,
1012,2026-09-06 06:04:49,Daniel Goodwin,bakumenkovioletta@example.net,507739,872626,Cepsa Gandia,82.59,115,33.04,14.87,,
1013,2026-08-08 23:06:27,Samantha Zavala MD,volodymyrazharko@example.org,507738,872624,Gm Iol,71.6,98,28.64,12.89,,
1014,2026-08-29 03:55:03,Tanner Austin,sarah33@example.com,507763,872662,Edlrive Lithuania Panemunės Baseinas,21.99,86,8.8,3.96,,
1015,2026-08-22 03:16:46,Охримович Іван Устимович,obabiichuk@example.org,507806,872776,Manises,19.55,79,7.82,3.52,,
1016,2026-08-19 02:23:41,Марія Артеменко,taylorrachel@example.com,507807,872781,C.C. Los Alcores Sevilla,19.67,53,7.87,3.54,,
1017,2026-08-13 14:37:10,Katie Tucker,cbaklan@example.net,507930,873007,Galway Bus Depot,29.34,82,11.74,5.28,,
1018,2026-08-27 02:11:00,Cheryl Palmer,cvyshniak@example.com,508016,873192,Ford Arragona,46.98,54,18.79,8.46,,
1019,2026-08-26 01:46:38,Ада Баштан,,507738,872623,Gm Il,39.56,109,15.82,7.12,,
1020,2026-09-06 22:55:40,Семен Засуха,jamiejames@example.org,508003,873173,Neste Liikenneasema Härkäpaari,28.3,65,11.32,5.09,,
1021,2026-08-10 18:09:34,Christine Poole,hannadankiv@example.net,507803,872770,Hotel Laksa Ciater,53.95,116,21.58,9.71,,
1022,2026-09-03 16:17:13,Teresa Burgess,ievhenkalchenko@example.com,507996,873159,"Savanorių Pr. 276,Kaunas",16.16,93,6.46,2.91,,
1023,2026-08-27 00:33:38,Мілена Бабʼяк,robert31@example.net,507919,872977,2898 - הרב אבא אבוחצירא (פרטי),28.37,91,11.35,5.11,,
1024,2026-09-04 10:42:36,Єва Ковалюк,hscott@example.com,507806,872777,Maniss,34.31,116,13.72,6.18,,
1025,2026-08-26 04:52:17,Владислав Комар,korbuttaras@example.com,507919,872984,2898 - הרב אבא אבוחחצירא (פרטי),41.49,66,16.6,7.47,,
1026,2026-08-12 00:34:25,Mark Hamilton,parmen41@example.com,508011,873186,Porto Elminya Boardwallk 🏖️,67.81,30,27.12,12.21,,
1027,2026-08-19 17:03:24,Віолетта Адаменко,yvonnemiller@example.net,507819,872795,FOC DC-Charger,20.97,77,8.39,3.77,,
1028,2026-08-12 12:30:01,Мирослав Бабко,rsmith@example.net,507715,872554,Via Francesco Borromini,46.14,59,18.46,8.31,,
1029,2026-08-13 13:12:40,Ярина Габелко,taylorjohn@example.net,507771,872714,Жк Скоолково Уан,52.39,42,20.96,9.43,,
1030,2026-08-22 03:23:55,Elizabeth Miller,valentynaovcharenko@example.org,507919,872978,2898 - הרב אב אבוחצירא (פרטי),8.72,100,3.49,1.57,,
1031,2026-08-26 08:35:47,Rodney Johnson,brownleah@example.net,507829,872813,Wesco Reed City,53.6,16,21.44,9.65,,
1032,2026-08-26 14:49:41,Болеслав Тарасенко,christina26@example.org,507819,872795,Foc Dc--Charger,18.64,79,7.46,3.36,,
1033,2026-08-18 19:37:46,Brianna Byrd,sofiiasaienko@example.com,507771,872713,Ж Сколково Уан,10.2,24,4.08,1.84,,
1034,2026-08-12 02:43:33,Alexandra Baxter,amvrosiiiashchenko@example.org,507806,872776,Maniss,-15.5,91,-6.2,-2.79,,
1035,2026-09-03 13:51:15,Ада Теліженко,qgarrett@example.net,507829,872812,Wesc Oreed City,82.25,41,32.9,14.8,,
1036,2026-08-16 13:54:49,Наталія Заруба,loganmartin@example.com,507763,872665,Eldrive Lithuania Panemunnės Baseinas,69.67,84,27.87,12.54,,
1037,2026-08-27 01:38:01,Sarah Thomas,stanislavvernydub@example.net,507763,872662,Eldrive Lithuaania Panemunės Baseinas,29.37,29,11.75,5.29,,
1038,2026-09-04 16:25:46,Ліза Єфименко,ericsmith@example.org,507866,872874,Mobive | La Souterrine | Rue Des Fossés Des Canards,12.81,97,5.12,2.31,,
1039,2026-08-24 09:21:10,Аніта Швачка,hhupalo@example.com,507763,872663,Eldrive Lithuania Panemunės Baseinas,59.74,24,23.9,10.75,,
1040,2026-08-19 18:23:47,Ганна Коваленко,ichase@example.com,507862,872868,[Eone]Via Disegno,40.21,57,16.08,7.24,,
1041,2026-08-23 23:03:55,Юстина Перебийніс,hrechanykada@example.com,507859,872864,Club House Florencce,14.76,80,5.9,2.66,,
1042,2026-08-21 15:28:36,Matthew Garcia,marcusfernandez@example.net,508016,873192,Ford Tarragona,44.61,30,17.84,8.03,,
1043,2026-08-18 21:20:56,пан Климент Парасюк,viakovenko@example.net,507815,872789,Incalplas,7.75,51,3.1,1.4,,
